epoch,accuracy,loss,mean_iou,val_accuracy,val_loss,val_mean_iou
0,0.9349057078361511,0.5066472291946411,0.41804617643356323,0.8409463763237,0.6396958827972412,0.2535761892795563
1,0.9420793652534485,0.463669091463089,0.49654620885849,0.9266228079795837,0.5123058557510376,0.3993866443634033
2,0.945987343788147,0.4482467770576477,0.5255228281021118,0.888541579246521,0.5701212882995605,0.2669663429260254
3,0.94732266664505,0.43566620349884033,0.5397568941116333,0.9545100927352905,0.4561401307582855,0.5493730902671814
4,0.9501274824142456,0.4271683394908905,0.5485028624534607,0.946276068687439,0.4729626178741455,0.5077935457229614
5,0.9498637914657593,0.42498618364334106,0.53931725025177,0.9697839021682739,0.42045265436172485,0.6421203017234802
6,0.9505981206893921,0.41986218094825745,0.5492734313011169,0.932147741317749,0.505564272403717,0.3148573040962219
7,0.9523890614509583,0.41124606132507324,0.5601658821105957,0.9515888690948486,0.45785263180732727,0.5026935935020447
8,0.9525138139724731,0.40712276101112366,0.5689332485198975,0.9321681261062622,0.49270597100257874,0.37657514214515686
9,0.9538941383361816,0.4001290798187256,0.5746448636054993,0.9714176654815674,0.41136783361434937,0.6314600110054016
